memberId,dodsId,pimsId,name,nameListed,nameInFull,gender,dateOfBirth,dateOfDeath,house,houseStartDate,houseEndDate,partyId,party,from,layingMinisterName,state,stateIsActive,stateReason,stateStartDate
3684,32310,251,Baroness Prosser,"Prosser, B.",The Baroness Prosser OBE,F,1937-08-22T00:00:00,,Lords,2004-06-11T00:00:00,,15,Labour,Life peer,,Current Member,true,,2004-06-11T00:00:00
80,25448,252,Gwyn Prosser,"Prosser, Gwyn",Gwyn Prosser,M,1943-04-27T00:00:00,,Commons,1997-05-01T00:00:00,2010-05-06T00:00:00,15,Labour,Dover,,,false,,
1683,,,Wilfred  Proudfoot,"Proudfoot, Wilfred",Wilfred  Proudfoot,M,1921-12-19T00:00:00,2013-07-19T00:00:00,Commons,1970-06-18T00:00:00,1974-02-28T00:00:00,4,Conservative,Brighouse & Spenborough,,,false,,
3259,26543,257,Lord Prys-Davies,"Prys-Davies, L.",The Lord Prys-Davies,M,1923-12-08T00:00:00,,Lords,1983-02-09T00:00:00,2015-05-23T00:00:00,49,Non-affiliated,Life peer,,,false,,
1454,25198,260,John Pugh,"Pugh, John",John Pugh MP,M,1948-06-28T00:00:00,,Commons,2001-06-07T00:00:00,,17,Liberal Democrat,Southport,,Current Member,true,,2015-05-07T00:00:00
321,25337,261,Mr Ken Purchase,"Purchase, Mr Ken",Mr Ken Purchase,M,1939-01-08T00:00:00,,Commons,1992-04-09T00:00:00,2010-05-06T00:00:00,15,Labour,Wolverhampton North East,,,false,,
1455,25338,262,James Purnell,"Purnell, James",James Purnell,M,1970-03-02T00:00:00,,Commons,2001-06-07T00:00:00,2010-05-06T00:00:00,15,Labour,Stalybridge & Hyde,,,false,,
4369,101628,6140,Tom Pursglove,"Pursglove, Tom",Tom Pursglove MP,M,1988-11-05T00:00:00,,Commons,2015-05-07T00:00:00,,4,Conservative,Corby,,Current Member,true,,2015-05-07T00:00:00
4293,32696,7027,Lord Purvis of Tweed,"Purvis of Tweed, L.",The Lord Purvis of Tweed,M,1974-01-15T00:00:00,,Lords,2013-09-13T00:00:00,,17,Liberal Democrat,Life peer,,Current Member,true,,2013-09-13T00:00:00
3268,26544,266,Lord Puttnam,"Puttnam, L.",The Lord Puttnam CBE,M,1941-02-25T00:00:00,,Lords,1997-10-27T00:00:00,,15,Labour,Life peer,,Current Member,true,,1997-10-27T00:00:00
1001,,,Francis Pym,"Pym, Francis",Rt Hon Francis Pym,M,1922-02-13T00:00:00,2008-03-07T00:00:00,Commons,1961-03-16T00:00:00,1987-06-11T00:00:00,4,Conservative,South East Cambridgeshire,,,false,,
